expression,category,category_2,verb,noun,non_v_pred,frequent,sg,pl,mass,animate,person,properNoun,finite,bare,pres,past,ing,en,3sg,arg_1,arg_2,arg_3,root,wh_np_verb,responsive,passive,strict_intrans,strict_trans,causative,spray_load,inchoative,agentive,event,adjs,restrictor_DE,scope_DE,NPI,agent,occupation,clothing,appearance,physical,conceptual,artifact,start_with_vowel,frontable,gender,irrpl,special_en_form,irr_verb,irr_past,document,negated,locale,institution,arg_clause,homophonous,pluralform,singularform,sgequalspl,topic,image,v_embed_sc,change_of_state,initial_state,change_arg,vehicle,vegetable,food,light,liquid,animal,openable,climbable,cleanable,buildable,drinkable,singable,boat,money,interior,quantifier,antonym,locative_prepositions,synonym_hypernym_hyponym,OOV_inductive_biases,over,base_ed,past_ed,is_in_cds
learn,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,learn_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
learns,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,learn_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
lie,S\NP,IV_ag,1,,,,,,,,,,0,1,0,0,0,0,0,agent=1,,,lie_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
lying,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,1,0,0,agent=1,,,lie_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
lied,S\NP,IV_ag,1,,,,,,,,,,1,0,0,1,0,0,0,agent=1,,,lie_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
lied,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,0,1,0,agent=1,,,lie_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
lie,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,0,agent=1^sg=0,,,lie_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
lies,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,1,agent=1^sg=1,,,lie_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
litter,S\NP,IV_ag,1,,,,,,,,,,0,1,0,0,0,0,0,animate=1,,,litter_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
littering,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,1,0,0,animate=1,,,litter_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
littered,S\NP,IV_ag,1,,,,,,,,,,1,0,0,1,0,0,0,animate=1,,,litter_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
littered,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,0,1,0,animate=1,,,litter_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
litter,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,litter_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
litters,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,litter_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
lose,S\NP,IV_ag,1,,,,,,,,,,0,1,0,0,0,0,0,animate=1;document=1,,,lose_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,win_S\NP,,fail_S\NP,,0,0,0,1
losing,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,1,0,0,animate=1;document=1,,,lose_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,win_S\NP,,fail_S\NP,,0,0,0,1
lost,S\NP,IV_ag,1,,,,,,,,,,1,0,0,1,0,0,0,animate=1;document=1,,,lose_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,win_S\NP,,fail_S\NP,,0,0,0,1
lost,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,0,1,0,animate=1;document=1,,,lose_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,win_S\NP,,fail_S\NP,,0,0,0,1
lose,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,0,animate=1^sg=0;document=1^sg=0,,,lose_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,win_S\NP,,fail_S\NP,,0,0,0,1
loses,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,1,animate=1^sg=1;document=1^sg=1,,,lose_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,win_S\NP,,fail_S\NP,,0,0,0,1
marry,S\NP,IV_ag_pl,1,,,,,,,,,,0,1,0,0,0,0,0,animate=1^sg=0,,,marry_S\NP,,,,0,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
marrying,S\NP,IV_ag_pl,1,,,,,,,,,,0,0,0,0,1,0,0,animate=1^sg=0,,,marry_S\NP,,,,0,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
married,S\NP,IV_ag_pl,1,,,,,,,,,,1,0,0,1,0,0,0,animate=1^sg=0,,,marry_S\NP,,,,0,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
married,S\NP,IV_ag_pl,1,,,,,,,,,,0,0,0,0,0,1,0,animate=1^sg=0,,,marry_S\NP,,,,0,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
marry,S\NP,IV_ag_pl,1,,,,,,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,marry_S\NP,,,,0,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
meet,S\NP,IV_ag_pl,1,,,,,,,,,,0,1,0,0,0,0,0,animate=1^sg=0;institution=1,,,meet_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
meeting,S\NP,IV_ag_pl,1,,,,,,,,,,0,0,0,0,1,0,0,animate=1^sg=0;institution=1,,,meet_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
met,S\NP,IV_ag_pl,1,,,,,,,,,,1,0,0,1,0,0,0,animate=1^sg=0;institution=1,,,meet_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
met,S\NP,IV_ag_pl,1,,,,,,,,,,0,0,0,0,0,1,0,animate=1^sg=0;institution=1,,,meet_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
meet,S\NP,IV_ag_pl,1,,,,,,,,,,1,0,1,0,0,0,0,animate=1^sg=0;institution=1^sg=0,,,meet_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
murmur,S\NP,IV_ag,1,,,,,,,,,,0,1,0,0,0,0,0,animate=1,,,murmur_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
murmuring,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,1,0,0,animate=1,,,murmur_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
murmured,S\NP,IV_ag,1,,,,,,,,,,1,0,0,1,0,0,0,animate=1,,,murmur_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
murmured,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,0,1,0,animate=1,,,murmur_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
murmur,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,murmur_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
murmurs,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,murmur_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
mutter,S\NP,IV_ag,1,,,,,,,,,,0,1,0,0,0,0,0,animate=1,,,mutter_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
muttering,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,1,0,0,animate=1,,,mutter_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
muttered,S\NP,IV_ag,1,,,,,,,,,,1,0,0,1,0,0,0,animate=1,,,mutter_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
muttered,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,0,1,0,animate=1,,,mutter_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
mutter,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,mutter_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
mutters,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,mutter_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
negotiate,S\NP,IV_ag,1,,,,,,,,,,0,1,0,0,0,0,0,animate=1^sg=0;institution=1,,,negotiate_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
negotiating,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,1,0,0,animate=1^sg=0;institution=1,,,negotiate_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
negotiated,S\NP,IV_ag,1,,,,,,,,,,1,0,0,1,0,0,0,animate=1^sg=0;institution=1,,,negotiate_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
negotiated,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,0,1,0,animate=1^sg=0;institution=1,,,negotiate_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
negotiate,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,0,animate=1^sg=0;institution=1^sg=0,,,negotiate_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
negotiates,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,1,animate=1^sg=1;institution=1^sg=1,,,negotiate_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
nod,S\NP,IV_ag,1,,,,,,,,,,0,1,0,0,0,0,0,animate=1,,,nod_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
nodding,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,1,0,0,animate=1,,,nod_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
nodded,S\NP,IV_ag,1,,,,,,,,,,1,0,0,1,0,0,0,animate=1,,,nod_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
nodded,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,0,1,0,animate=1,,,nod_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
nod,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,nod_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
nods,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,nod_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
paint,S\NP,IV_ag,1,,,,,,,,,,0,1,0,0,0,0,0,animate=1,,,paint_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
painting,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,1,0,0,animate=1,,,paint_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
painted,S\NP,IV_ag,1,,,,,,,,,,1,0,0,1,0,0,0,animate=1,,,paint_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
painted,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,0,1,0,animate=1,,,paint_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
paint,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,paint_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
paints,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,paint_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
perform,S\NP,IV_ag,1,,,,,,,,,,0,1,0,0,0,0,0,animate=1,,,perform_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
performing,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,1,0,0,animate=1,,,perform_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
performed,S\NP,IV_ag,1,,,,,,,,,,1,0,0,1,0,0,0,animate=1,,,perform_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
performed,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,0,1,0,animate=1,,,perform_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
perform,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,perform_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
performs,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,perform_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
play,S\NP,IV_ag,1,,,,,,,,,,0,1,0,0,0,0,0,animate=1,,,play_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
playing,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,1,0,0,animate=1,,,play_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
played,S\NP,IV_ag,1,,,,,,,,,,1,0,0,1,0,0,0,animate=1,,,play_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
played,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,0,1,0,animate=1,,,play_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
play,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,play_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
plays,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,play_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
practice,S\NP,IV_ag,1,,,,,,,,,,0,1,0,0,0,0,0,animate=1,,,practice_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
practicing,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,1,0,0,animate=1,,,practice_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
practiced,S\NP,IV_ag,1,,,,,,,,,,1,0,0,1,0,0,0,animate=1,,,practice_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
practiced,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,0,1,0,animate=1,,,practice_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
practice,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,practice_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
practices,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,practice_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
protest,S\NP,IV_ag,1,,,,,,,,,,0,1,0,0,0,0,0,agent=1,,,protest_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
protesting,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,1,0,0,agent=1,,,protest_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
protested,S\NP,IV_ag,1,,,,,,,,,,1,0,0,1,0,0,0,agent=1,,,protest_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
protested,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,0,1,0,agent=1,,,protest_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
protest,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,0,agent=1^sg=0,,,protest_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
protests,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,1,agent=1^sg=1,,,protest_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
react,S\NP,IV_ag,1,,,,,,,,,,0,1,0,0,0,0,0,animate=1^sg=0;institution=1,,,react_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
reacting,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,1,0,0,animate=1^sg=0;institution=1,,,react_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
reacted,S\NP,IV_ag,1,,,,,,,,,,1,0,0,1,0,0,0,animate=1^sg=0;institution=1,,,react_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
reacted,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,0,1,0,animate=1^sg=0;institution=1,,,react_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
react,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,0,animate=1^sg=0;institution=1^sg=0,,,react_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
reacts,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,1,animate=1^sg=1;institution=1^sg=1,,,react_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
read,S\NP,IV_ag,1,,,,,,,,,,0,1,0,0,0,0,0,animate=1,,,read_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
reading,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,1,0,0,animate=1,,,read_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
read,S\NP,IV_ag,1,,,,,,,,,,1,0,0,1,0,0,0,animate=1,,,read_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
read,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,0,1,0,animate=1,,,read_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
read,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,read_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
reads,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,read_S\NP,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
reply,S\NP,IV_ag,1,,,,,,,,,,0,1,0,0,0,0,0,animate=1;institution=1,,,reply_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
replying,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,1,0,0,animate=1;institution=1,,,reply_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
replied,S\NP,IV_ag,1,,,,,,,,,,1,0,0,1,0,0,0,animate=1;institution=1,,,reply_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
replied,S\NP,IV_ag,1,,,,,,,,,,0,0,0,0,0,1,0,animate=1;institution=1,,,reply_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
reply,S\NP,IV_ag,1,,,,,,,,,,1,0,1,0,0,0,0,animate=1^sg=0;institution=1^sg=0,,,reply_S\NP,,,0,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
